"Ref","Name","Location","Type"
"K-2118","Oquaga Creek","US-NY","State Park"
"K-2119","Orient Beach","US-NY","State Park"
"K-2120","Peebles Island","US-NY","State Park"
"K-2121","Pinnacle","US-NY","State Park"
"K-2122","Pixley Falls","US-NY","State Park"
"K-2123","Point Au Roche","US-NY","State Park"
"K-2124","Reservoir","US-NY","State Park"
"K-2125","Riverbank","US-NY","State Park"
"K-2126","Robert Wehle","US-NY","State Park"
"K-2127","Robert H. Treman","US-NY","State Park"
"K-2128","Robert Moses","US-NY","State Park"
"K-2129","Robert V. Riddell","US-NY","State Park"
"K-2130","Roberto Clemente","US-NY","State Park"
"K-2131","Rock Island Lighthouse","US-NY","State Park"
"K-2132","Rockland Lake","US-NY","State Park"
"K-2133","Sampson","US-NY","State Park"
"K-2134","Sandy Island Beach","US-NY","State Park"
"K-2135","Saratoga Spa","US-NY","State Park"
"K-2136","Schodack Island","US-NY","State Park"
"K-2137","Schunnemunk Mountain","US-NY","State Park"
"K-2138","Selkirk Shores","US-NY","State Park"
"K-2139","Seneca Lake","US-NY","State Park"
"K-2140","Shadmoor","US-NY","State Park"
"K-2141","Silver Lake","US-NY","State Park"
"K-2142","Southwick Beach","US-NY","State Park"
"K-2144","Sterling Forest","US-NY","State Park"
"K-2145","Stony Brook","US-NY","State Park"
"K-2146","Storm King","US-NY","State Park"
"K-2147","Sunken Meadow","US-NY","State Park"
"K-2148","Taconic","US-NY","State Park"
"K-2149","Tallman Mountain","US-NY","State Park"
"K-2150","Taughannock Falls","US-NY","State Park"
"K-2151","Thompsons Lake","US-NY","State Park"
"K-2152","Trail View","US-NY","State Park"
"K-2153","Valley Stream","US-NY","State Park"
"K-2154","Verona Beach","US-NY","State Park"
"K-2155","Waterson Point","US-NY","State Park"
"K-2156","Watkins Glen","US-NY","State Park"
"K-2157","Wellesley Island","US-NY","State Park"
"K-2158","Westcott Beach","US-NY","State Park"
"K-2159","Whetstone Gulf","US-NY","State Park"
"K-2160","Whirlpool","US-NY","State Park"
"K-2161","Wildwood","US-NY","State Park"
"K-2162","Wilson Tuscarora","US-NY","State Park"
"K-2163","Wonder Lake","US-NY","State Park"
"K-2164","Woodlawn Beach","US-NY","State Park"
"K-2165","A. H. Stephens","US-GA","State Park"
"K-2166","Amicalola Falls","US-GA","State Park"
"K-2167","Black Rock Mountain","US-GA","State Park"
"K-2168","Chattahoochee Bend","US-GA","State Park"
"K-2169","Cloudland Canyon","US-GA","State Park"
"K-2170","Crooked River","US-GA","State Park"
"K-2171","Don Carter","US-GA","State Park"
"K-2172","Elijah Clark","US-GA","State Park"
"K-2173","F.D. Roosevelt","US-GA","State Park"
"K-2174","Florence Marina","US-GA","State Park"
"K-2175","Fort McAllister","US-GA","State Park"
"K-2176","Fort Mountain","US-GA","State Park"
"K-2177","Fort Yargo","US-GA","State Park"
"K-2178","General Coffee","US-GA","State Park"
"K-2179","George L. Smith","US-GA","State Park"
"K-2180","George T. Bagby and Lodge","US-GA","State Park"
"K-2181","Georgia Veterans","US-GA","State Park"
"K-2182","Gordonia Altamaha","US-GA","State Park"
"K-2183","Hamburg","US-GA","State Park"
"K-2184","Hard Labor Creek","US-GA","State Park"
"K-2185","High Falls","US-GA","State Park"
"K-2186","Indian Springs","US-GA","State Park"
"K-2187","James H. (Sloppy) Floyd","US-GA","State Park"
"K-2188","Laura S. Walker","US-GA","State Park"
"K-2189","Little Ocmulgee","US-GA","State Park"
"K-2190","Magnolia Springs","US-GA","State Park"
"K-2191","Mistletoe","US-GA","State Park"
"K-2192","Moccasin Creek","US-GA","State Park"
"K-2193","Panola Mountain","US-GA","State Park"
"K-2194","Red Top Mountain","US-GA","State Park"
"K-2195","Reed Bingham","US-GA","State Park"
"K-2196","Richard B. Russell","US-GA","State Park"
"K-2197","Seminole","US-GA","State Park"
"K-2198","Skidaway Island","US-GA","State Park"
"K-2199","Smithgall Woods","US-GA","State Park"
"K-2200","Stephen C Foster","US-GA","State Park"
"K-2201","Sweetwater Creek","US-GA","State Park"
"K-2202","Tallulah Gorge","US-GA","State Park"
"K-2203","Tugaloo","US-GA","State Park"
"K-2204","Unicoi","US-GA","State Park"
"K-2205","Victoria Bryant","US-GA","State Park"
"K-2206","Vogel","US-GA","State Park"
"K-2207","Watson Mill Bridge","US-GA","State Park"
"K-2208","Akaka Falls","US-HI","State Park"
"K-2209","Ahupua'a O Kahana","US-HI","State Park"
"K-2210","Haâ€˜ena","US-HI","State Park"
"K-2211","Heeia","US-HI","State Park"
"K-2212","Kaâ€˜ena Point","US-HI","State Park"
"K-2213","Kaumahina Wayside","US-HI","State Park"
"K-2214","Kekaha Kai","US-HI","State Park"
"K-2215","Koke`e","US-HI","State Park"
"K-2216","Makapuâ€˜u Point Wayside","US-HI","State Park"
"K-2217","Makena","US-HI","State Park"
"K-2218","Nu'uanu Pali Wayside","US-HI","State Park"
"K-2219","Palaau","US-HI","State Park"
"K-2220","Polihale","US-HI","State Park"
"K-2221","Puaa Kaa Wayside","US-HI","State Park"
"K-2222","Pu'u 'Ualakaa","US-HI","State Park"
"K-2223","Waimea Canyon","US-HI","State Park"
"K-2224","Waianapanapa","US-HI","State Park"
"K-2225","Wailuku River","US-HI","State Park"
"K-2226","Wailua River","US-HI","State Park"
"K-2227","Wailua Valley Wayside","US-HI","State Park"
"K-2228","Bear Lake","US-ID","State Park"
"K-2229","Bruneau Dunes","US-ID","State Park"
"K-2230","Castle Rocks","US-ID","State Park"
"K-2231","Old Mission","US-ID","State Park"
"K-2232","Dworshak","US-ID","State Park"
"K-2233","Eagle Island","US-ID","State Park"
"K-2234","Farragut","US-ID","State Park"
"K-2235","Harriman","US-ID","State Park"
"K-2236","Hells Gate","US-ID","State Park"
"K-2237","Henrys Lake","US-ID","State Park"
"K-2238","Heyburn","US-ID","State Park"
"K-2239","Lake Cascade","US-ID","State Park"
"K-2240","Lake Walcott","US-ID","State Park"
"K-2241","Land of the Yankee Fork","US-ID","State Park"
"K-2242","Lucky Peak","US-ID","State Park"
"K-2243","Massacre Rocks","US-ID","State Park"
"K-2244","Mary M. McCroskey","US-ID","State Park"
"K-2245","Ponderosa","US-ID","State Park"
"K-2246","Priest Lake","US-ID","State Park"
"K-2247","Round Lake","US-ID","State Park"
"K-2248","Thousand Springs","US-ID","State Park"
"K-2249","Three Island Crossing","US-ID","State Park"
"K-2250","Winchester Lake","US-ID","State Park"
"K-2251","Brown County","US-IN","State Park"
"K-2252","Chain O' Lakes","US-IN","State Park"
"K-2253","Charlestown","US-IN","State Park"
"K-2254","Clifty Falls","US-IN","State Park"
"K-2255","Falls of the Ohio","US-IN","State Park"
"K-2256","Fort Harrison","US-IN","State Park"
"K-2257","Harmonie","US-IN","State Park"
"K-2258","Indiana Dunes","US-IN","State Park"
"K-2259","Lincoln","US-IN","State Park"
"K-2260","McCormick's Creek","US-IN","State Park"
"K-2261","Mounds","US-IN","State Park"
"K-2262","O'Bannon Woods","US-IN","State Park"
"K-2263","Ouabache","US-IN","State Park"
"K-2264","Pokagon","US-IN","State Park"
"K-2265","Potato Creek","US-IN","State Park"
"K-2266","Prophetstown","US-IN","State Park"
"K-2267","Shades","US-IN","State Park"
"K-2268","Shakamak","US-IN","State Park"
"K-2269","Spring Mill","US-IN","State Park"
"K-2270","Summit Lake","US-IN","State Park"
"K-2271","Tippecanoe River","US-IN","State Park"
"K-2272","Turkey Run","US-IN","State Park"
"K-2273","Versailles","US-IN","State Park"
"K-2274","White River","US-IN","State Park"
"K-2275","Whitewater Memorial","US-IN","State Park"
"K-2276","Ambrose A. Call","US-IA","State Park"
"K-2277","Backbone","US-IA","State Park"
"K-2278","Banner Lakes at Summerset","US-IA","State Park"
"K-2279","Beed's Lake","US-IA","State Park"
"K-2280","Bellevue","US-IA","State Park"
"K-2281","Big Creek","US-IA","State Park"
"K-2282","Blackhawk","US-IA","State Park"
"K-2283","Cedar Rock","US-IA","State Park"
"K-2284","Clear Lake","US-IA","State Park"
"K-2285","Dolliver Memorial","US-IA","State Park"
"K-2286","Elinor Bedell","US-IA","State Park"
"K-2287","Elk Rock","US-IA","State Park"
"K-2288","Fort Defiance","US-IA","State Park"
"K-2289","Geode","US-IA","State Park"
"K-2290","George Wyth","US-IA","State Park"
"K-2291","Green Valley","US-IA","State Park"
"K-2292","Gull Point","US-IA","State Park"
"K-2293","Honey Creek","US-IA","State Park"
"K-2294","Lacey-Keosauqua","US-IA","State Park"
"K-2295","Lake Ahquabi","US-IA","State Park"
"K-2296","Lake Anita","US-IA","State Park"
"K-2297","Lake Darling","US-IA","State Park"
"K-2298","Lake Keomah","US-IA","State Park"
"K-2299","Lake Macbride","US-IA","State Park"
"K-2300","Lake Manawa","US-IA","State Park"
"K-2301","Lake of Three Fires","US-IA","State Park"
"K-2302","Lake Wapello","US-IA","State Park"
"K-2303","Ledges","US-IA","State Park"
"K-2304","Lewis and Clark","US-IA","State Park"
"K-2305","Maquoketa Caves","US-IA","State Park"
"K-2306","McIntosh Woods","US-IA","State Park"
"K-2307","Mini-Wakan","US-IA","State Park"
"K-2308","Nine Eagles","US-IA","State Park"
"K-2309","Okamanpeedan","US-IA","State Park"
"K-2310","Palisades-Kepler","US-IA","State Park"
"K-2311","Pikes Peak","US-IA","State Park"
"K-2312","Pikes Point","US-IA","State Park"
"K-2313","Pilot Knob","US-IA","State Park"
"K-2314","Pine Lake","US-IA","State Park"
"K-2315","Prairie Rose","US-IA","State Park"
"K-2316","Preparation Canyon","US-IA","State Park"
"K-2317","Red Haw","US-IA","State Park"
"K-2318","Rice Lake","US-IA","State Park"
"K-2319","Rock Creek","US-IA","State Park"
"K-2320","Springbrook","US-IA","State Park"
"K-2321","Stone","US-IA","State Park"
"K-2322","Trappers Bay","US-IA","State Park"
"K-2323","Twin Lakes","US-IA","State Park"
"K-2324","Union Grove","US-IA","State Park"
"K-2325","Viking Lake","US-IA","State Park"
"K-2326","Walnut Woods","US-IA","State Park"
"K-2327","Wapsipinicon","US-IA","State Park"
"K-2328","Waubonsie","US-IA","State Park"
"K-2329","Wild Cat Den","US-IA","State Park"
"K-2330","Cedar Bluff","US-KS","State Park"
"K-2331","Cheney","US-KS","State Park"
"K-2332","Clinton","US-KS","State Park"
"K-2333","Crawford","US-KS","State Park"
"K-2334","Cross Timbers","US-KS","State Park"
"K-2335","Eisenhower","US-KS","State Park"
"K-2336","El Dorado","US-KS","State Park"
"K-2337","Elk City","US-KS","State Park"
"K-2338","Fall River","US-KS","State Park"
"K-2339","Glen Elder","US-KS","State Park"
"K-2340","Hillsdale","US-KS","State Park"
"K-2341","Kaw River","US-KS","State Park"
"K-2342","Kanopolis Lake","US-KS","State Park"
"K-2343","Lovewell","US-KS","State Park"
"K-2344","Meade","US-KS","State Park"
"K-2345","Milford","US-KS","State Park"
"K-2346","Mushroom Rock","US-KS","State Park"
"K-2347","Perry","US-KS","State Park"
"K-2348","Pomona","US-KS","State Park"
"K-2349","Prairie Dog","US-KS","State Park"
"K-2350","Prairie Spirit","US-KS","State Park"
"K-2351","Sandhills","US-KS","State Park"
"K-2352","Lake Scott","US-KS","State Park"
"K-2353","Tuttle Creek","US-KS","State Park"
"K-2354","Webster","US-KS","State Park"
"K-2355","Wilson","US-KS","State Park"
"K-2356","Bayou Segnette","US-LA","State Park"
"K-2357","Bogue Chitto","US-LA","State Park"
"K-2358","Chemin-A-Haut","US-LA","State Park"
"K-2359","Chicot","US-LA","State Park"
"K-2360","Cypremort Point","US-LA","State Park"
"K-2361","Fairview-Riverside","US-LA","State Park"
"K-2362","Fontainebleau","US-LA","State Park"
"K-2363","Grand Isle","US-LA","State Park"
"K-2364","Hodges Gardens","US-LA","State Park"
"K-2365","Jimmie Davis","US-LA","State Park"
"K-2366","Lake Bistineau","US-LA","State Park"
"K-2367","Lake Bruin","US-LA","State Park"
"K-2368","Lake Claiborne","US-LA","State Park"
"K-2369","Lake D'Arbonne","US-LA","State Park"
"K-2370","Lake Fausse Pointe","US-LA","State Park"
"K-2371","North Toledo Bend","US-LA","State Park"
"K-2372","Palmetto Island","US-LA","State Park"
"K-2373","Poverty Point Reservoir","US-LA","State Park"
"K-2374","Saint Bernard","US-LA","State Park"
"K-2375","Sam Houston Jones","US-LA","State Park"
"K-2376","South Toledo Bend","US-LA","State Park"
"K-2377","Tickfaw","US-LA","State Park"
"K-2378","Allagash Wilderness Waterway","US-ME","State Park"
"K-2379","Androscoggin Riverlands","US-ME","State Park"
"K-2380","Aroostook","US-ME","State Park"
"K-2381","Baxter","US-ME","State Park"
"K-2382","Birch Point Beach","US-ME","State Park"
"K-2383","Bradbury Mountain","US-ME","State Park"
"K-2384","Camden Hills","US-ME","State Park"
"K-2385","Cobscook Bay","US-ME","State Park"
"K-2386","Crescent Beach","US-ME","State Park"
"K-2387","Damariscotta Lake","US-ME","State Park"
"K-2388","Ferry Beach","US-ME","State Park"
"K-2389","Fort Point","US-ME","State Park"
"K-2390","Grafton Notch","US-ME","State Park"
"K-2391","Holbrook Island Sanctuary","US-ME","State Park"
"K-2392","Lake St. George","US-ME","State Park"
"K-2393","Lamoine","US-ME","State Park"
"K-2394","Lily Bay","US-ME","State Park"
"K-2395","Mackworth Island","US-ME","State Park"
"K-2396","Moose Point","US-ME","State Park"
"K-2397","Mount Blue","US-ME","State Park"
"K-2398","Mount Kineo","US-ME","State Park"
"K-2399","Owls Head","US-ME","State Park"
"K-2400","Peacock Beach","US-ME","State Park"
"K-2401","Peaks-Kenny","US-ME","State Park"
"K-2402","Penobscot River Corridor - Katahdin Woods and Waters","US-ME","State Park"
"K-2403","Popham Beach","US-ME","State Park"
"K-2404","Quoddy Head","US-ME","State Park"
"K-2405","Range Ponds","US-ME","State Park"
"K-2406","Rangeley Lake","US-ME","State Park"
"K-2407","Reid","US-ME","State Park"
"K-2408","Roque Bluffs","US-ME","State Park"
"K-2409","Sebago Lake","US-ME","State Park"
"K-2410","Shackford Head","US-ME","State Park"
"K-2411","Swan Lake","US-ME","State Park"
"K-2412","Two Lights","US-ME","State Park"
"K-2413","Vaughan Woods","US-ME","State Park"
"K-2414","Warren Island","US-ME","State Park"
"K-2415","Wolfe's Neck Woods","US-ME","State Park"
"K-2416","Ames Nowell","US-MA","State Park"
"K-2417","Ashland","US-MA","State Park"
"K-2418","Bash Bish Falls","US-MA","State Park"
"K-2419","Blackstone River and Canal Heritage","US-MA","State Park"
"K-2420","Borderland","US-MA","State Park"
"K-2421","Boston Harbor Islands","US-MA","State Park"
"K-2422","Bradley Palmer","US-MA","State Park"
"K-2423","Gardner","US-MA","State Park"
"K-2424","Callahan","US-MA","State Park"
"K-2425","Chicopee Memorial","US-MA","State Park"
"K-2426","Clarksburg","US-MA","State Park"
"K-2427","Cochituate","US-MA","State Park"
"K-2428","Connecticut River Greenway","US-MA","State Park"
"K-2429","Demarest Lloyd","US-MA","State Park"
"K-2430","Dighton Rock","US-MA","State Park"
"K-2431","Dunn","US-MA","State Park"
"K-2432","Ellisville Harbor","US-MA","State Park"
"K-2433","Fall River Heritage","US-MA","State Park"
"K-2434","Gardner Heritage","US-MA","State Park"
"K-2435","Great Brook Farm","US-MA","State Park"
"K-2436","Greycourt","US-MA","State Park"
"K-2437","Halibut Point","US-MA","State Park"
"K-2438","Hampton Ponds","US-MA","State Park"
"K-2439","Holyoke Heritage","US-MA","State Park"
"K-2440","Hopkinton","US-MA","State Park"
"K-2442","Lake Wyola","US-MA","State Park"
"K-2443","Lawrence Heritage","US-MA","State Park"
"K-2444","Lowell Heritage","US-MA","State Park"
"K-2445","Lynn Heritage","US-MA","State Park"
"K-2446","Massasoit","US-MA","State Park"
"K-2447","Maudslay","US-MA","State Park"
"K-2448","Moore","US-MA","State Park"
"K-2449","Mount Holyoke Range","US-MA","State Park"
"K-2450","Natural Bridge","US-MA","State Park"
"K-2451","Nickerson","US-MA","State Park"
"K-2452","Pearl Hill","US-MA","State Park"
"K-2453","Pilgrim Memorial","US-MA","State Park"
"K-2454","Quinsigamond","US-MA","State Park"
"K-2455","Robinson","US-MA","State Park"
"K-2456","Roxbury Heritage","US-MA","State Park"
"K-2457","Rutland","US-MA","State Park"
"K-2458","J. A. Skinner","US-MA","State Park"
"K-2459","Wahconah Falls","US-MA","State Park"
"K-2460","Watson Pond","US-MA","State Park"
"K-2461","Webb Memorial","US-MA","State Park"
"K-2462","Wells","US-MA","State Park"
"K-2463","Western Gateway Heritage","US-MA","State Park"
"K-2464","Whitehall","US-MA","State Park"
"K-2465","Wompatuck","US-MA","State Park"
"K-2466","Afton","US-MN","State Park"
"K-2467","Banning","US-MN","State Park"
"K-2468","Bear Head Lake","US-MN","State Park"
"K-2469","Beaver Creek Valley","US-MN","State Park"
"K-2470","Big Stone Lake","US-MN","State Park"
"K-2471","Blue Mounds","US-MN","State Park"
"K-2472","Buffalo River","US-MN","State Park"
"K-2473","Camden","US-MN","State Park"
"K-2474","Carley","US-MN","State Park"
"K-2475","Cascade River","US-MN","State Park"
"K-2476","Charles A. Lindbergh","US-MN","State Park"
"K-2477","Crow Wing","US-MN","State Park"
"K-2478","Father Hennepin","US-MN","State Park"
"K-2479","Flandrau","US-MN","State Park"
"K-2480","Forestville/Mystery Cave","US-MN","State Park"
"K-2481","Fort Ridgely","US-MN","State Park"
"K-2482","Fort Snelling","US-MN","State Park"
"K-2483","Franz Jevne","US-MN","State Park"
"K-2484","Frontenac","US-MN","State Park"
"K-2485","George Crosby Manitou","US-MN","State Park"
"K-2486","Glacial Lakes","US-MN","State Park"
"K-2487","Glendalough","US-MN","State Park"
"K-2488","Gooseberry Falls","US-MN","State Park"
"K-2489","Grand Portage","US-MN","State Park"
"K-2490","Great River Bluffs","US-MN","State Park"
"K-2491","Hayes Lake","US-MN","State Park"
"K-2492","Hill Annex Mine","US-MN","State Park"
"K-2493","Interstate","US-MN","State Park"
"K-2494","Itasca","US-MN","State Park"
"K-2495","Jay Cooke","US-MN","State Park"
"K-2496","John A. Latsch","US-MN","State Park"
"K-2497","Judge C.R. Magney","US-MN","State Park"
"K-2498","Kilen Woods","US-MN","State Park"
"K-2499","Lac Qui Parle","US-MN","State Park"
"K-2500","Lake Bemidji","US-MN","State Park"
"K-2501","Lake Bronson","US-MN","State Park"
"K-2502","Lake Carlos","US-MN","State Park"
"K-2503","Lake Louise","US-MN","State Park"
"K-2504","Lake Maria","US-MN","State Park"
"K-2505","Lake Shetek","US-MN","State Park"
"K-2506","Lake Vermilion","US-MN","State Park"
"K-2507","Maplewood","US-MN","State Park"
"K-2508","McCarthy Beach","US-MN","State Park"
"K-2509","Mille Lacs Kathio","US-MN","State Park"
"K-2510","Minneopa","US-MN","State Park"
"K-2511","Monson Lake","US-MN","State Park"
"K-2512","Moose Lake","US-MN","State Park"
"K-2513","Myre-Big Island","US-MN","State Park"
"K-2514","Nerstrand Big Woods","US-MN","State Park"
"K-2515","Old Mill","US-MN","State Park"
"K-2516","Rice Lake","US-MN","State Park"
"K-2517","St. Croix","US-MN","State Park"
"K-2518","Sakatah Lake","US-MN","State Park"
"K-2519","Savanna Portage","US-MN","State Park"
"K-2520","Scenic","US-MN","State Park"
"K-2521","Schoolcraft","US-MN","State Park"
"K-2522","Sibley","US-MN","State Park"
"K-2523","Split Rock Creek","US-MN","State Park"
"K-2524","Split Rock Lighthouse","US-MN","State Park"
"K-2525","Temperance River","US-MN","State Park"
"K-2526","Tettegouche","US-MN","State Park"
"K-2527","Upper Sioux Agency","US-MN","State Park"
"K-2528","Whitewater","US-MN","State Park"
"K-2529","Wild River","US-MN","State Park"
"K-2530","William O'Brien","US-MN","State Park"
"K-2531","Zippel Bay","US-MN","State Park"
"K-2532","Buccaneer","US-MS","State Park"
"K-2533","Clarkco","US-MS","State Park"
"K-2534","Florewood","US-MS","State Park"
"K-2535","George P Cossar","US-MS","State Park"
"K-2536","Golden Memorial","US-MS","State Park"
"K-2537","Great River Road","US-MS","State Park"
"K-2538","Holmes County","US-MS","State Park"
"K-2539","Hugh White","US-MS","State Park"
"K-2540","John W. Kyle","US-MS","State Park"
"K-2541","J P Coleman","US-MS","State Park"
"K-2542","Lake Lincoln","US-MS","State Park"
"K-2543","Lake Lowndes","US-MS","State Park"
"K-2544","Lefleurâ€™s Bluff","US-MS","State Park"
"K-2545","Legion","US-MS","State Park"
"K-2546","Leroy Percy","US-MS","State Park"
"K-2547","Natchez","US-MS","State Park"
"K-2548","Paul B. Johnson","US-MS","State Park"
"K-2549","Percy E Quin","US-MS","State Park"
"K-2550","Roosevelt","US-MS","State Park"
"K-2551","Shepard","US-MS","State Park"
"K-2552","Tishomingo","US-MS","State Park"
"K-2553","Tombigbee","US-MS","State Park"
"K-2554","Trace","US-MS","State Park"
"K-2555","Wall Doxey","US-MS","State Park"
"K-2556","Ackley Lake","US-MT","State Park"
"K-2557","Anaconda Smelter Stack","US-MT","State Park"
"K-2558","Bannack","US-MT","State Park"
"K-2559","Beaverhead Rock","US-MT","State Park"
"K-2560","Beavertail Hill","US-MT","State Park"
"K-2561","Big Arm","US-MT","State Park"
"K-2562","Black Sandy","US-MT","State Park"
"K-2563","Brush Lake","US-MT","State Park"
"K-2564","Chief Plenty Coups","US-MT","State Park"
"K-2565","Clarks Lookout","US-MT","State Park"
"K-2566","Cooney Reservoir","US-MT","State Park"
"K-2567","Council Grove","US-MT","State Park"
"K-2568","Elkhorn","US-MT","State Park"
"K-2569","Finley Point","US-MT","State Park"
"K-2570","First Peoples Buffalo Jump","US-MT","State Park"
"K-2571","Fish Creek","US-MT","State Park"
"K-2572","Fort Owen","US-MT","State Park"
"K-2573","Frenchtown Pond","US-MT","State Park"
"K-2574","Giant Springs","US-MT","State Park"
"K-2575","Garnet Ghost Town","US-MT","State Park"
"K-2576","Grey Cliff Prairie Dog","US-MT","State Park"
"K-2577","Hell Creek","US-MT","State Park"
"K-2578","Lake Elmo","US-MT","State Park"
"K-2579","Lake Mary Ronan","US-MT","State Park"
"K-2580","Les Mason","US-MT","State Park"
"K-2581","Lewis and Clark Caverns","US-MT","State Park"
"K-2582","Logan","US-MT","State Park"
"K-2583","Lone Pine","US-MT","State Park"
"K-2584","Lost Creek","US-MT","State Park"
"K-2585","Madison Buffalo Jump","US-MT","State Park"
"K-2586","Makoshika","US-MT","State Park"
"K-2587","Marias River","US-MT","State Park"
"K-2588","Medicine Rocks","US-MT","State Park"
"K-2589","Missouri Headwaters","US-MT","State Park"
"K-2590","Painted Rocks","US-MT","State Park"
"K-2591","Pictograph Cave","US-MT","State Park"
"K-2592","Pirogue Island","US-MT","State Park"
"K-2593","Placid Lake","US-MT","State Park"
"K-2594","Rosebud Battlefield","US-MT","State Park"
"K-2595","Salmon Lake","US-MT","State Park"
"K-2596","Sluice Boxes","US-MT","State Park"
"K-2597","Smith River","US-MT","State Park"
"K-2598","Spring Meadow Lake","US-MT","State Park"
"K-2599","Thompson Falls","US-MT","State Park"
"K-2600","Tongue River Reservoir","US-MT","State Park"
"K-2601","Tower Rock","US-MT","State Park"
"K-2602","Travelers' Rest","US-MT","State Park"
"K-2603","Wayfarers","US-MT","State Park"
"K-2604","West Shore","US-MT","State Park"
"K-2605","Whitefish Lake","US-MT","State Park"
"K-2606","Wild Horse Island","US-MT","State Park"
"K-2607","Yellow Bay","US-MT","State Park"
"K-2608","Ashfall Fossil Bedsal","US-NE","State Park"
"K-2609","Ash Hollow","US-NE","State Park"
"K-2610","Arbor Lodge","US-NE","State Park"
"K-2611","Bowring Sandhills Ranch","US-NE","State Park"
"K-2612","Buffalo Bill Ranch","US-NE","State Park"
"K-2613","Chadron","US-NE","State Park"
"K-2614","Eugene T. Mahoney","US-NE","State Park"
"K-2615","Fort Atkinson","US-NE","State Park"
"K-2616","Fort Hartsuff","US-NE","State Park"
"K-2617","Fort Kearny","US-NE","State Park"
"K-2618","Fort Robinson","US-NE","State Park"
"K-2619","Indian Cave","US-NE","State Park"
"K-2620","Niobrara","US-NE","State Park"
"K-2621","Platte River","US-NE","State Park"
"K-2622","Ponca","US-NE","State Park"
"K-2623","Rock Creek Station","US-NE","State Park"
"K-2624","Smith Falls","US-NE","State Park"
"K-2625","Beaver Dam","US-NV","State Park"
"K-2626","Berlin-Ichthyosaur","US-NV","State Park"
"K-2627","Cathedral Gorge","US-NV","State Park"
"K-2628","Cave Lake","US-NV","State Park"
"K-2629","Dayton","US-NV","State Park"
"K-2630","Echo Canyon","US-NV","State Park"
"K-2631","Fort Churchill","US-NV","State Park"
"K-2632","Kershaw-Ryan","US-NV","State Park"
"K-2633","Lake Tahoe","US-NV","State Park"
"K-2634","Mormon Station","US-NV","State Park"
"K-2635","Spring Mountain Ranch","US-NV","State Park"
"K-2636","Spring Valley","US-NV","State Park"
"K-2637","Valley of Fire","US-NV","State Park"
"K-2638","Van Sickle Bi","US-NV","State Park"
"K-2639","Ward Charcoal Ovens","US-NV","State Park"
"K-2640","Washoe Lake","US-NV","State Park"
"K-2641","Ahern","US-NH","State Park"
"K-2642","Androscoggin Wayside","US-NH","State Park"
"K-2643","Bear Brook","US-NH","State Park"
"K-2644","Cardigan Mountain","US-NH","State Park"
"K-2645","Clough","US-NH","State Park"
"K-2646","Coleman","US-NH","State Park"
"K-2647","Crawford Notch","US-NH","State Park"
"K-2648","Dixville Notch","US-NH","State Park"
"K-2649","Echo Lake","US-NH","State Park"
"K-2650","Eisenhower Memorial Wayside","US-NH","State Park"
"K-2651","Ellacoya","US-NH","State Park"
"K-2652","Forest Lake","US-NH","State Park"
"K-2653","Franconia Notch","US-NH","State Park"
"K-2654","Gardner Memorial Wayside","US-NH","State Park"
"K-2655","Greenfield","US-NH","State Park"
"K-2656","Hampton Beach","US-NH","State Park"
"K-2657","Jericho Mountain","US-NH","State Park"
"K-2658","Kingston","US-NH","State Park"
"K-2659","Lake Francis","US-NH","State Park"
"K-2660","Lake Tarleton","US-NH","State Park"
"K-2661","Milan Hill","US-NH","State Park"
"K-2662","Miller","US-NH","State Park"
"K-2663","Mollidgewock","US-NH","State Park"
"K-2664","Monadnock","US-NH","State Park"
"K-2665","Moose Brook","US-NH","State Park"
"K-2666","Mount Sunapee","US-NH","State Park"
"K-2667","Mount Washington","US-NH","State Park"
"K-2668","Nansen Wayside","US-NH","State Park"
"K-2669","North Hampton","US-NH","State Park"
"K-2670","Northwood Meadows","US-NH","State Park"
"K-2671","Odiorne Point","US-NH","State Park"
"K-2672","Pawtuckaway","US-NH","State Park"
"K-2673","Pillsbury","US-NH","State Park"
"K-2674","Pisgah","US-NH","State Park"
"K-2675","Rhododendron","US-NH","State Park"
"K-2676","Rollins","US-NH","State Park"
"K-2677","Rye Harbor","US-NH","State Park"
"K-2678","Silver Lake","US-NH","State Park"
"K-2679","Umbagog Lake","US-NH","State Park"
"K-2680","Wadleigh","US-NH","State Park"
"K-2681","Weeks","US-NH","State Park"
"K-2682","Wellington","US-NH","State Park"
"K-2683","Wentworth","US-NH","State Park"
"K-2684","White Lake","US-NH","State Park"
"K-2685","Winslow","US-NH","State Park"
"K-2686","Bluewater","US-NM","State Park"
"K-2687","Bottomless Lakes","US-NM","State Park"
"K-2688","Brantley Lake","US-NM","State Park"
"K-2689","Caballo Lake","US-NM","State Park"
"K-2690","Cerrillos Hills","US-NM","State Park"
"K-2691","Cimarron Canyon","US-NM","State Park"
"K-2692","City of Rock","US-NM","State Park"
"K-2693","Clayton Lake","US-NM","State Park"
"K-2694","Conchas Lake","US-NM","State Park"
"K-2695","Coyote Creek","US-NM","State Park"
"K-2696","Eagle Nest Lake","US-NM","State Park"
"K-2697","Elephant Butte Lake","US-NM","State Park"
"K-2698","El Vado Lake","US-NM","State Park"
"K-2699","Fenton Lake","US-NM","State Park"
"K-2700","Heron Lake","US-NM","State Park"
"K-2701","Hyde Memorial","US-NM","State Park"
