"Ref","Name","Location","Type"
"K-0223","Browns Park","US-CO","National Wildlife Refuge"
"K-0224","Monte Vista","US-CO","National Wildlife Refuge"
"K-0225","Rocky Flats","US-CO","National Wildlife Refuge"
"K-0226","Rocky Mountain Arsenal","US-CO","National Wildlife Refuge"
"K-0227","Two Ponds","US-CO","National Wildlife Refuge"
"K-0228","Stewart B. Mckinney","US-CT","National Wildlife Refuge"
"K-0229","Bombay Hook","US-DE","National Wildlife Refuge"
"K-0230","Prime Hook","US-DE","National Wildlife Refuge"
"K-0231","Archie Carr","US-FL","National Wildlife Refuge"
"K-0232","Arthur R. Marshall Loxahatchee","US-FL","National Wildlife Refuge"
"K-0233","Caloosahatchee","US-FL","National Wildlife Refuge"
"K-0234","Cedar Keys","US-FL","National Wildlife Refuge"
"K-0235","Chassahowitzka","US-FL","National Wildlife Refuge"
"K-0236","Crocodile Lake","US-FL","National Wildlife Refuge"
"K-0237","Crystal River","US-FL","National Wildlife Refuge"
"K-0238","Egmont Key","US-FL","National Wildlife Refuge"
"K-0239","Florida Panther","US-FL","National Wildlife Refuge"
"K-0240","Great White Heron","US-FL","National Wildlife Refuge"
"K-0241","Hobe Sound","US-FL","National Wildlife Refuge"
"K-0242","Island Bay","US-FL","National Wildlife Refuge"
"K-0243","J.N. Ding Darling","US-FL","National Wildlife Refuge"
"K-0244","Key West","US-FL","National Wildlife Refuge"
"K-0245","Lake Wales Ridge","US-FL","National Wildlife Refuge"
"K-0246","Lake Woodruff","US-FL","National Wildlife Refuge"
"K-0247","Lower Suwannee","US-FL","National Wildlife Refuge"
"K-0248","Matlacha Pass","US-FL","National Wildlife Refuge"
"K-0249","Merritt Island","US-FL","National Wildlife Refuge"
"K-0250","National Key Deer","US-FL","Refuge"
"K-0251","Passage Key","US-FL","National Wildlife Refuge"
"K-0252","Pelican Island","US-FL","National Wildlife Refuge"
"K-0253","Pine Island","US-FL","National Wildlife Refuge"
"K-0254","Pinellas","US-FL","National Wildlife Refuge"
